id_partido,id_equipo
492474,10000
492566,10000
492567,9994
492578,9999
492590,10001
492670,9996
492699,9999
492772,9994
492819,7947
492991,8635
492999,8342
493004,9998
493007,10001
493013,7947
493023,7947
493031,9999
493042,4049
493044,9986
493046,9998
493050,9987
493051,8635
492493,9984
493079,9993
493080,9984
493096,9996
493098,9986
493101,9994
492503,10000
492504,9986
492509,9996
492529,10000
492530,9986
492536,8635
492543,4049
492554,8635
665425,8342
665427,9987
665432,8571
665445,8203
665543,8571
665553,9986
665561,9993
665570,8635
665601,9986
665603,9984
665607,8203
665617,9997
665622,10001
665626,8635
665327,8635
665647,9991
665651,9993
665655,9984
665657,9994
665669,9991
665674,9987
665687,9997
665689,9991
665694,9999
665702,9984
665735,10001
665740,9994
665743,9993
665761,9985
665385,9985
665389,9991
665399,10000
838602,9997
838606,9989
838646,9984
838651,8342
838689,9984
838701,9989
838486,9994
838725,10000
838739,6351
838781,8203
838812,8203
838822,10000
838839,9989
838854,9991
838496,8571
838498,8203
838869,9985
838873,8203
838875,10001
838510,9986
838526,9984
838528,8342
838534,10000
838536,9994
838539,9989
838575,6351
1032772,9985
1032783,10000
1032787,9998
1032804,9985
1032820,8342
1032821,9987
1032825,8203
1032828,8635
1032831,10000
1032838,9991
1032701,9985
1032702,9993
1032706,10001
1032847,10000
1032848,1773
1032857,8571
1032859,10001
1032876,8342
1032882,8203
1032902,9987
1032910,8635
1032919,9993
1032927,9987
1032931,8203
1032932,9998
1032718,10000
1032725,9987
1032736,1773
1032740,9987
1032741,9991
1032754,8203
1032762,10001
1223977,9993
1223983,8342
1224061,8203
1224064,9987
1224067,1773
1224072,9985
1224074,9993
1224075,9986
1224080,9987
1224090,9993
1224102,9984
1224110,9984
1224112,9985
1224113,9987
1224120,8635
1223996,9989
1224139,9994
1224142,8475
1224152,8635
1224162,1773
1224166,9984
1224173,8203
1224176,9987
1224178,1773
1224184,9985
1224185,9993
1224203,9986
1224214,9984
1224002,9993
1224003,8571
1224219,9986
1224011,1773
1224021,9998
1224031,9987
1224033,9993
1224043,10000
1224050,1773
1224051,8571
1717819,9984
1717820,9989
1717824,10000
1717901,9994
1717904,9984
1717907,9986
1717908,10000
1717909,274581
1717918,8571
1717920,9984
1717944,9986
1717958,9994
1717962,9985
1717964,10000
1717971,8573
1717980,10000
1717982,8203
1717984,9984
1717996,10000
1717998,8203
1718002,8635
1718019,9986
1718035,9985
1718046,9994
1718047,8571
1717834,9985
1718055,8475
1717843,8573
1717845,274581
1717847,8571
1717857,8342
1717882,9987
1717884,8573
1979906,8203
1979933,1773
1979934,10001
1979938,9991
1979939,8573
1979946,9991
1979950,1773
1979953,9987
1979959,9997
1979971,10000
1979840,9991
1979841,8342
1979846,9985
1979976,8342
1979977,9991
1979980,274581
1980020,274581
1980038,8571
1980039,8475
1980040,8635
1980047,9997
1980048,8342
1979854,9986
1980061,1773
1979885,9986
1979887,10001
489042,10260
489043,9825
489044,8472
489133,9825
489135,8559
489136,8667
489150,10194
489162,10260
489166,10261
489172,8650
489184,8586
489188,8462
489193,9825
489196,10261
489201,8667
489209,10194
489055,8456
489056,8655
489057,9879
489233,10260
489240,8559
489252,8528
489253,8650
489255,8586
489258,8655
489270,8456
489274,9825
489281,8667
489286,8668
489287,8456
489291,8528
489298,10261
489308,8668
489310,8559
489330,8559
489064,8472
489065,8654
489338,9879
489345,8654
489350,8559
489359,8462
489372,8455
489376,8668
489383,8650
489387,8549
489402,8667
489403,10260
489405,8668
489072,8650
489076,8655
489078,8659
489080,10194
489085,8654
489092,10260
489096,8549
489115,10252
489116,8549
489124,8654
489131,8455
658576,8668
658700,8455
658701,8559
658712,8668
658715,8658
658716,9825
658723,8586
658823,8650
658825,8455
658829,8586
658830,8472
658831,10194
658839,9825
658850,8654
658859,8456
658922,9879
658584,8472
658589,8191
658932,8559
658935,10260
658938,8456
658939,8650
658942,8191
658944,8658
658960,10260
658974,9825
658977,10194
659069,9879
659070,8654
659075,10252
659077,8456
659083,9825
659087,10252
659096,8191
659106,8602
658593,9825
658594,8650
658600,8667
659111,10260
659130,8456
659148,9825
659150,8602
659151,8528
659153,8456
659156,8455
659158,10252
659165,9879
659178,9825
659368,8650
659371,8455
658604,8586
658618,9879
658619,8658
658620,8462
658628,8602
658629,8559
658682,8668
658693,8655
839922,8659
839935,8654
839939,8456
839942,8528
839947,8472
839952,8659
839955,8586
839967,8456
839969,8658
839976,8654
840001,9879
840003,8483
840006,8586
840007,8654
840012,8528
840065,10260
840070,10252
840072,10261
840075,8650
840097,8472
840113,8528
840116,9825
840125,8586
840127,10252
840129,10261
840130,8456
839840,8655
840172,8559
840176,8654
840178,10261
840181,8658
840189,10252
840211,8602
840226,8586
840233,8559
839849,9879
839859,8655
839860,8659
839868,8456
839873,8483
839875,8472
839886,10252
839887,8668
839893,8483
1024172,8655
1024188,8586
1024792,8668
1024834,8559
1024848,9850
1024865,8472
1024910,8586
1024934,8650
1024940,10260
1024958,8472
1024983,8668
1024304,8668
1024313,9850
1025220,8586
1025222,8528
1025240,10252
1025248,8455
1025255,10260
1025257,10261
1025278,8559
1025405,8559
1025422,8586
1025483,10261
1025520,8668
1025549,8586
1025576,10261
1025634,8650
1025648,10194
1025735,8655
1025771,9825
1025796,10194
1025815,10252
1025824,8668
1025884,10260
1025915,10252
1025975,9850
1026004,10252
1026027,8650
1026062,8456
1026089,8659
1026206,8659
1024401,8559
1024412,8456
1024459,10003
1024497,9850
1024510,8659
1024534,8559
1228236,8659
1229201,8472
1229212,8456
1229213,10261
1229221,8456
1229242,10194
1229257,10172
1229259,8659
1229265,9879
1229287,10261
1229300,10260
1228298,10003
1229312,9850
1229315,10194
1229324,10003
1229342,8456
1229348,8654
1229367,10172
1229371,8654
1229378,8466
1229383,8586
1229386,9879
1229392,9798
1229408,9879
1228306,10003
1228318,8659
1229436,8472
1229448,10194
1229451,9825
1229463,10260
1229466,8472
1229469,8659
1229490,8586
1229495,8668
1229499,10172
1229500,9798
1229502,8472
1228357,8472
1228415,9879
1229167,8466
1229170,8659
1229172,8528
1474070,9850
1474329,8344
1474334,8667
1474399,8456
1474402,10261
1474406,8659
1474422,8667
1474424,8456
1474527,8659
1474553,8456
1474560,8586
1474578,10194
1474689,9879
1474692,8650
1474705,10194
1474956,8654
1475003,8586
1475005,9825
1475009,8650
1474154,8344
1475016,8668
1475018,9879
1475026,8586
1475049,10003
1475056,8667
1475059,9850
1475082,8456
1475089,9879
1475100,8455
1475114,8456
1474177,8667
1474180,8466
1474184,10003
1474212,8667
1474216,10194
1474223,8586
1474244,8586
1474250,10252
1474262,10260
1474265,10261
1474306,9850
1474307,8466
1723983,8191
1723989,10194
1724072,9825
1724073,10252
1724079,8456
1724080,10261
1724083,8650
1724084,10260
1724091,8654
1724096,8668
1724100,10261
1724104,10260
1724108,10003
1724115,10260
1724118,8659
1724129,10194
1724154,8455
1724166,10261
1723996,8667
1724000,10003
1724182,9825
1724186,8668
1724196,8456
1724201,8654
1724202,9825
1724212,10252
1724221,8654
1724231,8472
1724243,8191
1724252,10252
1724253,8667
1724255,8466
1724264,8455
1724009,10003
1724278,8466
1724281,8654
1724295,10172
1724311,10194
1724313,8191
1724316,8456
1724322,10252
1724325,8197
1724326,8650
1724334,8455
1724347,8472
1724351,8654
1724016,8650
1724025,8197
1724036,8650
1724038,8466
1724046,8650
1724053,8191
1724056,8456
1724057,10261
1724069,8586
1987033,8678
1988807,10194
1988808,8472
1988832,8668
1988848,8586
1988854,10261
1988856,10194
1988875,8466
1988894,10260
1988895,9850
1988899,8654
1988915,8456
1988921,8678
1988926,8466
1988930,9825
1988939,8654
1988952,8455
1988956,8466
1988971,8650
1988983,8197
1988989,10194
1988992,8668
1988997,8586
1988733,8197
1988735,9850
1988736,8472
1988737,9817
1989006,9850
1989014,10261
1989044,8197
1989071,8678
1989078,8586
1988742,8455
1988743,8650
1988750,9825
1988755,9850
1988760,10252
1988766,8466
1988769,8586
483130,9827
483137,9874
483221,8639
483225,9831
483227,9853
483236,9853
483239,8583
483241,8639
483242,8689
483253,9829
483254,9830
483260,9746
483268,9941
483294,8592
483300,9746
483301,8682
483142,8689
483144,9830
483322,8682
483331,8639
483336,9847
483346,9851
483350,9746
483353,8592
483362,8682
483365,9847
483385,9830
483388,9873
483389,9855
483394,8689
483396,8592
483416,9829
483428,8639
483150,9827
483152,8682
483153,9748
483158,9873
483443,7819
483479,9873
483493,8689
483502,8682
483506,9851
483518,9847
483528,9874
483170,9827
483174,9829
483183,8592
483189,8583
483193,9748
653879,8639
654067,4170
654070,8592
654087,8689
654109,8588
654115,9851
654126,8682
654147,9827
654204,8682
654241,9853
653901,8481
654305,9831
654324,9827
654332,9829
654347,9873
654378,9827
654386,9748
654399,9827
654411,9831
654429,9748
654433,10249
654436,9941
654488,8583
654506,9853
653915,8583
653923,9829
654530,9827
654535,9831
654536,9851
654541,8689
654545,8481
654546,9874
654548,9847
654713,9851
654718,8689
654726,8583
654741,8481
654752,10249
654757,8588
653935,4170
653973,9851
654012,10249
829867,8583
829871,8592
829875,9851
829965,9827
830027,9873
830050,8481
830068,9829
830080,9941
830109,9748
829878,108893
829879,9827
830172,9941
830197,8521
830209,9748
830243,9829
830288,8592
830291,10249
830339,9941
830353,9831
830356,9851
829898,9941
830447,9829
830484,8481
830505,9941
830506,108893
830510,8521
830516,8689
830517,9829
830532,9831
829917,9831
829919,9851
829921,108893
829926,8481
829935,7819
829946,8639
829947,9829
829953,9873
829954,8583
829958,8689
1019338,8521
1019341,8592
1019344,9831
1019528,8639
1019537,9874
1019552,10249
1019558,9847
1019576,8689
1019587,9874
1019614,8583
1019616,9827
1019685,9941
1019350,9748
1019351,9851
1019765,9827
1019770,7819
1019774,9836
1019786,8481
1019817,9851
1019837,8592
1019940,9748
1019948,9851
1019969,8481
1020000,9941
1020016,8689
1020017,8592
1020025,9874
1019365,8592
1020080,9851
1020096,8576
1020153,9836
1020163,9831
1020202,9836
1020207,9847
1020234,10249
1020236,8481
1020252,9874
1020256,9873
1019402,9827
1019408,8592
1019428,9748
1019433,9941
1019467,10249
1019479,7819
1019494,9853
1216903,8689
1216915,9748
1216916,9831
1216925,8481
1216960,9873
1216969,9941
1216971,8576
1216988,9941
1216990,9847
1216992,7794
1217017,9748
1217022,10249
1217032,7794
1217035,8639
1217058,9837
1217066,9831
1217071,7794
1217074,8689
1217075,8592
1217076,10249
1217078,9853
1217087,9847
1217088,9851
1217089,10242
1217090,9873
1216837,9851
1217110,9873
1217114,10249
1217129,10242
1217132,8592
1217141,8576
1217150,9873
1217153,8481
1217163,9827
1217171,4087
1217181,8576
1217190,9873
1216843,9827
1216850,8639
1216856,9837
1216870,8639
1216873,9748
1216874,8481
1216876,9847
1216882,8521
1468114,9830
1468116,9851
1468254,9847
1468258,9874
1468264,9829
1468277,9851
1468279,7794
1468280,9827
1468286,9853
1468289,8576
1468297,9851
1468330,9827
1468397,9941
1468400,9851
1468434,8639
1468465,8689
1468470,9830
1468471,9829
1468473,8689
1468477,7794
1468481,9847
1468484,9748
1468180,9827
1468188,9873
1468506,9748
1468508,4087
1468517,9747
1468539,7794
1468543,9830
1468550,9873
1468551,9941
1468566,9747
1468570,9941
1468190,4087
