temporada,fecha,id_pais,id_partido,id_local,id_visitante,goles_local,goles_visitante,nombre_liga
2008/2009,2008-11-01 00:00:00,1,492567,9994,9998,0,0,Belgium Jupiler League
2008/2009,2009-03-21 00:00:00,1,493050,9987,4049,3,0,Belgium Jupiler League
2008/2009,2008-10-25 00:00:00,1,492554,8635,8203,7,1,Belgium Jupiler League
2009/2010,2009-10-18 00:00:00,1,665427,9987,8203,1,2,Belgium Jupiler League
2009/2010,2009-10-31 00:00:00,1,665543,8571,8203,2,0,Belgium Jupiler League
2009/2010,2009-12-05 00:00:00,1,665601,9986,9997,0,0,Belgium Jupiler League
2009/2010,2010-02-24 00:00:00,1,665694,9999,9987,1,1,Belgium Jupiler League
2010/2011,2010-08-07 00:00:00,1,838486,9994,8571,1,1,Belgium Jupiler League
2010/2011,2011-03-20 00:00:00,1,838869,9985,9993,1,0,Belgium Jupiler League
2010/2011,2011-03-20 00:00:00,1,838875,10001,9986,2,2,Belgium Jupiler League
2011/2012,2011-08-06 00:00:00,1,1032702,9993,9991,2,2,Belgium Jupiler League
2011/2012,2012-01-22 00:00:00,1,1032859,10001,9985,0,0,Belgium Jupiler League
2011/2012,2012-03-18 00:00:00,1,1032919,9993,9994,2,2,Belgium Jupiler League
2011/2012,2011-09-10 00:00:00,1,1032736,1773,9998,3,1,Belgium Jupiler League
2011/2012,2011-09-18 00:00:00,1,1032740,9987,9985,3,0,Belgium Jupiler League
2012/2013,2013-01-26 00:00:00,1,1224173,8203,9987,2,1,Belgium Jupiler League
2012/2013,2012-08-11 00:00:00,1,1224002,9993,10000,1,1,Belgium Jupiler League
2014/2015,2014-07-27 00:00:00,1,1717824,10000,8571,2,0,Belgium Jupiler League
2014/2015,2014-10-29 00:00:00,1,1717920,9984,9985,0,1,Belgium Jupiler League
2014/2015,2014-08-15 00:00:00,1,1717845,274581,9985,5,2,Belgium Jupiler League
2014/2015,2014-09-27 00:00:00,1,1717882,9987,9986,1,1,Belgium Jupiler League
2015/2016,2016-02-06 00:00:00,1,1980020,274581,9987,0,1,Belgium Jupiler League
2015/2016,2016-02-21 00:00:00,1,1980039,8475,8635,1,0,Belgium Jupiler League
2008/2009,2008-10-29 00:00:00,1729,489133,9825,8586,4,4,England Premier League
2008/2009,2008-11-15 00:00:00,1729,489166,10261,8528,2,2,England Premier League
2008/2009,2009-01-18 00:00:00,1729,489255,8586,8462,1,1,England Premier League
2008/2009,2009-01-31 00:00:00,1729,489274,9825,8654,0,0,England Premier League
2009/2010,2009-12-16 00:00:00,1729,658829,8586,8456,3,0,England Premier League
2009/2010,2009-08-18 00:00:00,1729,658584,8472,8455,1,3,England Premier League
2009/2010,2009-08-19 00:00:00,1729,658589,8191,10260,1,0,England Premier League
2009/2010,2010-01-23 00:00:00,1729,658960,10260,8667,4,0,England Premier League
2009/2010,2010-01-31 00:00:00,1729,658974,9825,10260,1,3,England Premier League
2009/2010,2010-02-10 00:00:00,1729,659075,10252,10260,1,1,England Premier League
2009/2010,2010-03-06 00:00:00,1729,659106,8602,10260,0,1,England Premier League
